,0
0,class_1
1,class_1
2,class_1
3,class_1
4,class_1
5,class_1
6,class_1
7,class_1
8,class_1
9,class_1
10,class_1
11,class_1
12,class_1
13,class_1
14,class_1
15,class_1
16,class_1
17,class_1
18,class_1
19,class_1
20,class_1
21,class_1
22,class_1
23,class_1
24,class_1
25,class_1
26,class_1
27,class_1
28,class_1
29,class_1
30,class_1
31,class_1
32,class_1
33,class_1
34,class_1
35,class_1
36,class_1
37,class_1
38,class_1
39,class_1
40,class_1
41,class_1
42,class_1
43,class_1
44,class_1
45,class_1
46,class_1
47,class_1
48,class_1
49,class_1
50,class_1
51,class_1
52,class_1
53,class_1
54,class_1
55,class_1
56,class_1
57,class_1
58,class_1
59,class_1
60,class_2
61,class_2
62,class_2
63,class_2
64,class_2
65,class_2
66,class_2
67,class_2
68,class_2
69,class_2
70,class_2
71,class_2
72,class_2
73,class_2
74,class_2
75,class_2
76,class_2
77,class_2
78,class_2
79,class_2
80,class_2
81,class_2
82,class_2
83,class_2
84,class_2
85,class_2
86,class_2
87,class_2
88,class_2
89,class_2
90,class_2
91,class_2
92,class_2
93,class_2
94,class_2
95,class_2
96,class_2
97,class_2
98,class_2
99,class_2
100,class_2
101,class_2
102,class_2
103,class_2
104,class_2
105,class_2
106,class_2
107,class_2
108,class_2
109,class_2
110,class_2
111,class_2
112,class_2
113,class_2
114,class_2
115,class_2
116,class_2
117,class_2
118,class_2
119,class_2
120,class_3
121,class_3
122,class_3
123,class_3
124,class_3
125,class_3
126,class_3
127,class_3
128,class_3
129,class_3
130,class_3
131,class_3
132,class_3
133,class_3
134,class_3
135,class_3
136,class_3
137,class_3
138,class_3
139,class_3
140,class_3
141,class_3
142,class_3
143,class_3
144,class_3
145,class_3
146,class_3
147,class_3
148,class_3
149,class_3
150,class_3
151,class_3
152,class_3
153,class_3
154,class_3
155,class_3
156,class_3
157,class_3
158,class_3
159,class_3
160,class_3
161,class_3
162,class_3
163,class_3
164,class_3
165,class_3
166,class_3
167,class_3
168,class_3
169,class_3
170,class_3
171,class_3
172,class_3
173,class_3
174,class_3
175,class_3
176,class_3
177,class_3
178,class_3
179,class_3
180,class_4
181,class_4
182,class_4
183,class_4
184,class_4
185,class_4
186,class_4
187,class_4
188,class_4
189,class_4
190,class_4
191,class_4
192,class_4
193,class_4
194,class_4
195,class_4
196,class_4
197,class_4
198,class_4
199,class_4
200,class_4
201,class_4
202,class_4
203,class_4
204,class_4
205,class_4
206,class_4
207,class_4
208,class_4
209,class_4
210,class_4
211,class_4
212,class_4
213,class_4
214,class_4
215,class_4
216,class_4
217,class_4
218,class_4
219,class_4
220,class_4
221,class_4
222,class_4
223,class_4
224,class_4
225,class_4
226,class_4
227,class_4
228,class_4
229,class_4
230,class_4
231,class_4
232,class_4
233,class_4
234,class_4
235,class_4
236,class_4
237,class_4
238,class_4
239,class_4
