,0
0,powdery_mildew
1,powdery_mildew
2,powdery_mildew
3,powdery_mildew
4,powdery_mildew
5,powdery_mildew
6,powdery_mildew
7,powdery_mildew
8,powdery_mildew
9,powdery_mildew
10,powdery_mildew
11,powdery_mildew
12,powdery_mildew
13,powdery_mildew
14,powdery_mildew
15,powdery_mildew
16,powdery_mildew
17,powdery_mildew
18,powdery_mildew
19,powdery_mildew
20,powdery_mildew
21,powdery_mildew
22,powdery_mildew
23,powdery_mildew
24,powdery_mildew
25,powdery_mildew
26,powdery_mildew
27,powdery_mildew
28,powdery_mildew
29,powdery_mildew
30,Tomato___Bacterial_spot
31,Tomato___Bacterial_spot
32,Tomato___Bacterial_spot
33,Tomato___Bacterial_spot
34,Tomato___Bacterial_spot
35,Tomato___Bacterial_spot
36,Tomato___Bacterial_spot
37,Tomato___Bacterial_spot
38,Tomato___Bacterial_spot
39,Tomato___Bacterial_spot
40,Tomato___Bacterial_spot
41,Tomato___Bacterial_spot
42,Tomato___Bacterial_spot
43,Tomato___Bacterial_spot
44,Tomato___Bacterial_spot
45,Tomato___Bacterial_spot
46,Tomato___Bacterial_spot
47,Tomato___Bacterial_spot
48,Tomato___Bacterial_spot
49,Tomato___Bacterial_spot
50,Tomato___Bacterial_spot
51,Tomato___Bacterial_spot
52,Tomato___Bacterial_spot
53,Tomato___Bacterial_spot
54,Tomato___Bacterial_spot
55,Tomato___Bacterial_spot
56,Tomato___Bacterial_spot
57,Tomato___Bacterial_spot
58,Tomato___Bacterial_spot
59,Tomato___Bacterial_spot
60,Tomato___Septoria_leaf_spot
61,Tomato___Septoria_leaf_spot
62,Tomato___Septoria_leaf_spot
63,Tomato___Septoria_leaf_spot
64,Tomato___Septoria_leaf_spot
65,Tomato___Septoria_leaf_spot
66,Tomato___Septoria_leaf_spot
67,Tomato___Septoria_leaf_spot
68,Tomato___Septoria_leaf_spot
69,Tomato___Septoria_leaf_spot
70,Tomato___Septoria_leaf_spot
71,Tomato___Septoria_leaf_spot
72,Tomato___Septoria_leaf_spot
73,Tomato___Septoria_leaf_spot
74,Tomato___Septoria_leaf_spot
75,Tomato___Septoria_leaf_spot
76,Tomato___Septoria_leaf_spot
77,Tomato___Septoria_leaf_spot
78,Tomato___Septoria_leaf_spot
79,Tomato___Septoria_leaf_spot
80,Tomato___Septoria_leaf_spot
81,Tomato___Septoria_leaf_spot
82,Tomato___Septoria_leaf_spot
83,Tomato___Septoria_leaf_spot
84,Tomato___Septoria_leaf_spot
85,Tomato___Septoria_leaf_spot
86,Tomato___Septoria_leaf_spot
87,Tomato___Septoria_leaf_spot
88,Tomato___Septoria_leaf_spot
89,Tomato___Septoria_leaf_spot
